day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,KELP,2032,23,,,,,2035,23,,,,,2033.5,0.0
1,100,KELP,2034,1,2033.0,2.0,2032.0,22.0,2035,22,,,,,2034.5,0.0
1,200,KELP,2032,22,,,,,2035,22,,,,,2033.5,0.0
1,300,KELP,2034,1,2032.0,26.0,,,2035,26,,,,,2034.5,0.0
1,400,KELP,2032,28,,,,,2035,28,,,,,2033.5,0.0
1,500,KELP,2032,24,,,,,2034,3,2035.0,24.0,,,2033.0,0.0
1,600,KELP,2033,5,2032.0,30.0,,,2035,30,,,,,2034.0,0.0
1,700,KELP,2032,22,,,,,2035,23,,,,,2033.5,0.0
1,800,KELP,2032,25,,,,,2033,3,2035.0,25.0,,,2032.5,0.0
1,900,KELP,2031,21,,,,,2035,21,,,,,2033.0,0.0
1,1000,KELP,2032,31,,,,,2035,31,,,,,2033.5,0.0
1,1100,KELP,2032,22,,,,,2035,22,,,,,2033.5,0.0
1,1200,KELP,2031,23,,,,,2032,1,2035.0,23.0,,,2031.5,0.0
1,1300,KELP,2031,25,,,,,2035,25,,,,,2033.0,0.0
1,1400,KELP,2031,23,,,,,2033,6,2035.0,23.0,,,2032.0,0.0
1,1500,KELP,2034,1,2032.0,1.0,2031.0,20.0,2035,21,,,,,2034.5,0.0
1,1600,KELP,2032,30,,,,,2035,30,,,,,2033.5,0.0
1,1700,KELP,2032,28,,,,,2034,8,2035.0,28.0,,,2033.0,0.0
1,1800,KELP,2033,4,2032.0,23.0,,,2035,23,,,,,2034.0,0.0
1,1900,KELP,2032,31,,,,,2035,32,,,,,2033.5,0.0
1,2000,KELP,2032,23,,,,,2035,23,,,,,2033.5,0.0
1,2100,KELP,2032,2,2031.0,26.0,,,2034,5,2035.0,28.0,,,2033.0,0.0
1,2200,KELP,2032,25,,,,,2035,21,,,,,2033.5,0.0
1,2300,KELP,2032,7,2031.0,22.0,,,2035,24,,,,,2033.5,0.0
1,2400,KELP,2031,22,,,,,2035,22,,,,,2033.0,0.0
1,2500,KELP,2032,2,2031.0,21.0,,,2035,23,,,,,2033.5,0.0
1,2600,KELP,2032,1,2031.0,29.0,,,2035,30,,,,,2033.5,0.0
1,2700,KELP,2032,9,2031.0,21.0,,,2035,23,,,,,2033.5,0.0
1,2800,KELP,2031,27,,,,,2035,27,,,,,2033.0,0.0
1,2900,KELP,2031,22,,,,,2035,22,,,,,2033.0,0.0
1,3000,KELP,2034,1,2032.0,6.0,2031.0,29.0,2035,30,,,,,2034.5,0.0
1,3100,KELP,2032,28,,,,,2035,28,,,,,2033.5,0.0
1,3200,KELP,2032,24,,,,,2033,5,2035.0,24.0,,,2032.5,0.0
1,3300,KELP,2032,25,,,,,2035,25,,,,,2033.5,0.0
1,3400,KELP,2032,29,,,,,2035,29,,,,,2033.5,0.0
1,3500,KELP,2032,26,,,,,2035,26,,,,,2033.5,0.0
1,3600,KELP,2032,27,,,,,2035,27,,,,,2033.5,0.0
1,3700,KELP,2032,25,,,,,2035,25,,,,,2033.5,0.0
1,3800,KELP,2032,24,,,,,2034,7,2035.0,24.0,,,2033.0,0.0
1,3900,KELP,2032,27,,,,,2035,26,,,,,2033.5,0.0
1,4000,KELP,2032,30,,,,,2035,31,,,,,2033.5,0.0
1,4100,KELP,2033,5,2032.0,24.0,,,2035,24,,,,,2034.0,0.0
1,4200,KELP,2032,29,,,,,2034,7,2035.0,29.0,,,2033.0,0.0
1,4300,KELP,2032,24,,,,,2035,26,,,,,2033.5,0.0
1,4400,KELP,2032,28,,,,,2035,28,,,,,2033.5,0.0
1,4500,KELP,2032,26,,,,,2034,8,2035.0,26.0,,,2033.0,0.0
1,4600,KELP,2032,21,,,,,2034,3,2035.0,21.0,,,2033.0,0.0
1,4700,KELP,2032,26,,,,,2035,26,,,,,2033.5,0.0
1,4800,KELP,2034,1,2032.0,30.0,,,2035,23,,,,,2034.5,0.0
1,4900,KELP,2032,24,,,,,2034,6,2035.0,24.0,,,2033.0,0.0
1,5000,KELP,2032,36,,,,,2035,31,,,,,2033.5,0.0
1,5100,KELP,2032,26,,,,,2035,26,,,,,2033.5,0.0
1,5200,KELP,2033,5,2032.0,31.0,,,2035,25,,,,,2034.0,0.0
1,5300,KELP,2032,22,,,,,2035,22,,,,,2033.5,0.0
1,5400,KELP,2032,30,,,,,2035,30,,,,,2033.5,0.0
1,5500,KELP,2032,21,,,,,2035,29,,,,,2033.5,0.0
1,5600,KELP,2032,25,,,,,2035,25,,,,,2033.5,0.0
1,5700,KELP,2032,34,,,,,2035,31,,,,,2033.5,0.0
1,5800,KELP,2032,30,,,,,2035,30,,,,,2033.5,0.0
1,5900,KELP,2032,23,,,,,2035,23,,,,,2033.5,0.0
1,6000,KELP,2032,30,,,,,2035,30,,,,,2033.5,0.0
1,6100,KELP,2032,25,,,,,2035,25,,,,,2033.5,0.0
1,6200,KELP,2034,1,2032.0,30.0,,,2035,30,,,,,2034.5,0.0
1,6300,KELP,2032,22,,,,,2035,22,,,,,2033.5,0.0
1,6400,KELP,2032,24,,,,,2035,24,,,,,2033.5,0.0
1,6500,KELP,2032,22,,,,,2035,22,,,,,2033.5,0.0
1,6600,KELP,2032,22,,,,,2035,29,,,,,2033.5,0.0
1,6700,KELP,2032,31,,,,,2034,7,2035.0,1.0,2036.0,30.0,2033.0,0.0
1,6800,KELP,2033,4,2032.0,31.0,,,2035,31,,,,,2034.0,0.0
1,6900,KELP,2032,29,,,,,2034,3,2035.0,29.0,,,2033.0,0.0
1,7000,KELP,2032,38,,,,,2035,31,,,,,2033.5,0.0
1,7100,KELP,2032,31,,,,,2035,31,,,,,2033.5,0.0
1,7200,KELP,2032,29,,,,,2035,23,,,,,2033.5,0.0
1,7300,KELP,2032,26,,,,,2035,26,,,,,2033.5,0.0
1,7400,KELP,2032,22,,,,,2035,22,,,,,2033.5,0.0
